job_role,skills,experience_level,domain,education_level,tools,required_experience_years,min_salary,max_salary,currency,job_type,industry,certifications,responsibilities,soft_skills,job_level,location,importance_score
Data Analyst,"tableau,python,statistics,excel,data visualization,pandas",mid,data,master,powerbi,6,470317,2380146,INR,on-site,AI/ML,google data analytics,analyze data,"communication,teamwork",Lead,USA,5
Frontend Developer,"sass,css,react,redux,tailwind,jest,typescript,javascript",senior,software,master,chrome devtools,3,1287126,2329127,INR,contract,Gaming,frontend nanodegree,optimize frontend performance,"communication,teamwork",Mid-level,Canada,3
Machine Learning Engineer,"pytorch,deep learning,docker,mlops,scikit-learn",senior,data,master,tensorflow,5,1389000,2059353,INR,full-time,Cloud,google ml engineer,build pipelines,"teamwork,leadership",Architect,Chennai,5
Cybersecurity Analyst,"cryptography,python,vulnerability assessment,incident response,network security,linux,firewall",senior,security,diploma,nessus,9,907684,2887237,INR,hybrid,IT Services,ceh,security audits,"communication,adaptability",Senior,Mumbai,5
Backend Developer,"express,sql,mongodb,django,node.js,postgresql,docker,rest,java,redis,spring",entry,software,diploma,postman,2,1272704,1729024,INR,on-site,Fintech,aws practitioner,build APIs,"adaptability,problem-solving",Lead,Hyderabad,1
Cloud Engineer,"docker,linux,kubernetes,ci/cd,aws,gcp,azure",mid,cloud,master,cloudwatch,9,1499917,2141856,INR,on-site,IT Services,aws cloud practitioner,deploy cloud infra,"problem-solving,creativity",Architect,Bangalore,4
Software Developer,"git,node.js,sql,c#,java,docker,typescript,css,javascript,html,api,rest",senior,software,diploma,vscode,10,452186,2750466,INR,intern,Cloud,oracle java,develop software features,"creativity,teamwork",Junior,Delhi,2
Machine Learning Engineer,"pandas,python,deep learning,numpy,pytorch,sql",mid,data,diploma,pytorch,2,1424513,2480236,INR,on-site,E-commerce,google ml engineer,build pipelines,"problem-solving,communication",Junior,Bangalore,4
Software Developer,"typescript,css,react,api,git",mid,software,diploma,vscode,3,480246,2864536,INR,contract,Cloud,aws developer,develop software features,"problem-solving,creativity",Architect,USA,5
Data Scientist,"statistics,scikit-learn,seaborn,data analysis,nlp,matplotlib",mid,data,master,python,6,1065493,1738840,INR,hybrid,E-commerce,ibm data science,analyze datasets,"teamwork,problem-solving",Lead,Pune,4
Software Developer,"docker,api,html,c#,sql,typescript,javascript,css,react,java,node.js",mid,software,master,git,2,652216,2419398,INR,full-time,Healthcare,aws developer,fix bugs,"creativity,leadership",Mid-level,Hyderabad,4
Data Analyst,"powerbi,data visualization,python,pandas,tableau,statistics",senior,data,master,powerbi,1,1273026,2870124,INR,hybrid,Healthcare,google data analytics,analyze data,"adaptability,leadership",Junior,Hyderabad,5
Data Analyst,"sql,excel,powerbi,statistics,pandas,tableau",mid,data,bachelor,excel,2,357523,2822935,INR,on-site,Gaming,google data analytics,create dashboards,"communication,creativity",Mid-level,Delhi,5
Data Scientist,"sql,scikit-learn,pandas,nlp,matplotlib,statistics",senior,data,bachelor,tableau,5,592544,2379253,INR,on-site,IT Services,ibm data science,build predictive models,"creativity,adaptability",Junior,Hyderabad,1
Cloud Engineer,"docker,gcp,monitoring,aws,terraform,ci/cd,kubernetes,azure,linux",entry,cloud,master,terraform,2,457291,2647239,INR,full-time,Cybersecurity,aws cloud practitioner,deploy cloud infra,"communication,problem-solving",Lead,Chennai,5
DevOps Engineer,"aws,ci/cd,monitoring,terraform,jenkins,docker,linux,kubernetes",senior,devops,bachelor,kubernetes,2,746867,2771862,INR,hybrid,Fintech,docker certified,infra automation,"leadership,creativity",Mid-level,Bangalore,3
Machine Learning Engineer,"docker,numpy,python,sql,pandas,tensorflow,nlp,pytorch",mid,data,bachelor,pytorch,2,1456093,2815537,INR,remote,IT Services,google ml engineer,train ML models,"creativity,problem-solving",Mid-level,Bangalore,1
Full Stack Developer,"css,express,git,mongodb,rest,sql,html,docker",entry,software,diploma,vscode,2,551738,2746570,INR,remote,IT Services,full stack certificate,deployment,"adaptability,leadership",Senior,USA,5
Cloud Engineer,"azure,gcp,monitoring,linux,kubernetes",mid,cloud,master,cloudwatch,6,343070,2985640,INR,hybrid,Cybersecurity,aws cloud practitioner,automation,"communication,leadership",Lead,Bangalore,3
Backend Developer,"sql,django,docker,python,spring,express,node.js,rest,postgresql,mongodb",entry,software,master,vscode,4,1235902,1949986,INR,hybrid,Gaming,aws practitioner,build APIs,"leadership,adaptability",Junior,Chennai,1
Cloud Engineer,"docker,ci/cd,aws,monitoring,kubernetes,linux",mid,cloud,diploma,terraform,9,418728,1575312,INR,on-site,Cloud,aws cloud practitioner,automation,"teamwork,creativity",Architect,USA,1
Cybersecurity Analyst,"python,vulnerability assessment,linux,firewall,cryptography",senior,security,master,metasploit,3,1270332,2720016,INR,hybrid,Healthcare,ceh,security audits,"problem-solving,adaptability",Mid-level,Pune,5
Data Scientist,"numpy,data analysis,matplotlib,scikit-learn,python,nlp,pandas,sql,seaborn",senior,data,master,python,7,1306667,1860397,INR,contract,Gaming,ibm data science,build predictive models,"leadership,teamwork",Mid-level,Delhi,3
Software Developer,"javascript,sql,docker,css,python,html,typescript,git",senior,software,bachelor,git,10,364095,2007380,INR,contract,AI/ML,aws developer,develop software features,"adaptability,leadership",Lead,Canada,3
Frontend Developer,"react,sass,css,html,tailwind,typescript,webpack,redux",entry,software,master,chrome devtools,10,546505,2358362,INR,on-site,E-commerce,frontend nanodegree,build UI,"adaptability,teamwork",Lead,Mumbai,5
Machine Learning Engineer,"tensorflow,pytorch,sql,mlops,python,docker,pandas,numpy,nlp",entry,data,bachelor,pytorch,6,660243,1831230,INR,hybrid,Healthcare,google ml engineer,build pipelines,"teamwork,problem-solving",Architect,Remote,3
Software Developer,"docker,html,api,git,css,java,c#,sql",entry,software,diploma,vscode,9,1348674,2154813,INR,remote,IT Services,oracle java,write clean code,"adaptability,creativity",Lead,Mumbai,1
Cybersecurity Analyst,"firewall,cryptography,linux,python,network security",senior,security,master,wireshark,0,604872,1568015,INR,on-site,Gaming,ceh,threat monitoring,"teamwork,communication",Junior,Hyderabad,4
Backend Developer,"sql,python,mongodb,postgresql,express,java",senior,software,bachelor,postman,1,577616,2579817,INR,hybrid,Cloud,aws practitioner,manage databases,"leadership,communication",Mid-level,Remote,5
Machine Learning Engineer,"mlops,nlp,docker,pytorch,deep learning,numpy",entry,data,bachelor,jupyter,6,468932,2337534,INR,contract,Fintech,google ml engineer,train ML models,"problem-solving,adaptability",Junior,Delhi,5
Frontend Developer,"typescript,css,html,jest,tailwind,react,sass,webpack",senior,software,bachelor,figma,8,654962,2572251,INR,hybrid,E-commerce,frontend nanodegree,build UI,"teamwork,adaptability",Mid-level,USA,5
DevOps Engineer,"monitoring,kubernetes,linux,jenkins,aws,ci/cd,docker",entry,devops,diploma,kubernetes,8,660282,2172428,INR,on-site,Cloud,docker certified,manage CI/CD,"adaptability,creativity",Lead,Chennai,1
Data Scientist,"matplotlib,python,statistics,data analysis,sql",entry,data,master,python,8,1255828,2102932,INR,contract,E-commerce,ibm data science,analyze datasets,"teamwork,creativity",Senior,USA,2
Frontend Developer,"javascript,tailwind,css,react,html,webpack,typescript,redux,jest",entry,software,diploma,figma,7,1496175,2724023,INR,full-time,AI/ML,frontend nanodegree,build UI,"leadership,problem-solving",Lead,Chennai,3
